Fort Knox Wolf Run											Hold*:	0.035557304768723985																																																									
4x5 Reels / 40 Lines											All Line Hit Frequency*:	0.244331512																																																									
Software ID: 		200-1775-001		Tweak of paymodels 200-1646-001 (Fort Knox Cats) and 200-1196-001 (Wolf Run)							All Line Win Frequency*:	0.11490461																																																									
* Hold percentages and Hit Frequencies represent long term statistical probabilities.																																																																					
																																																																					
																																																																					
	Summary																																																																				
																																																																					
	Cost	40																																																																			
																																																																					
																																																																					
	Bet Multiplier	Base  RTP	Bonus RTP	Fort Knox Bonus RTP	Increment	Total RTP	Progressive Odds																																																														
	1	0.709879974251824	0.0742835856582393	0.17727913532121262	0.003	0.964442695231276	7499999.999999999																																																														
	2	0.709879974251824	0.0742835856582393	0.17727916847374528	0.003	0.9644427283838086	3749999.9999999995																																																														
	3	0.709879974251824	0.0742835856582393	0.17727912687710312	0.003	0.9644426867871665	2500000																																																														
	4	0.709879974251824	0.0742835856582393	0.17727914730046912	0.003	0.9644427072105325	1874999.9999999998																																																														
	5	0.709879974251824	0.0742835856582393	0.17727916772383512	0.003	0.9644427276338985	1500000																																																														
	6	0.709879974251824	0.0742835856582393	0.17727913841109003	0.003	0.9644426983211534	1250000																																																														
	7	0.709879974251824	0.0742835856582393	0.1772791376191783	0.003	0.9644426975292416	1071428.5714285714																																																														
	8	0.709879974251824	0.0742835856582393	0.177279170771711	0.003	0.9644427306817743	937499.9999999999																																																														
	9	0.709879974251824	0.0742835856582393	0.17727912890923822	0.003	0.9644426888193016	833333.3333333334																																																														
	10	0.709879974251824	0.0742835856582393	0.17727914933260425	0.003	0.9644427092426676	750000																																																														
	15	0.709879974251824	0.0742835856582393	0.1772791313866429	0.003	0.9644426912967062	500000																																																														
	20	0.709879974251824	0.0742835856582393	0.17727917572652033	0.003	0.9644427356365837	375000																																																														
	25	0.709879974251824	0.0742835856582393	0.17727915760112	0.003	0.9644427175111834	300000																																																														
	30	0.709879974251824	0.0742835856582393	0.1772791478754392	0.003	0.9644427077855026	250000																																																														
	40	0.709879974251824	0.0742835856582393	0.17727917408991628	0.003	0.9644427339999796	187500																																																														
	50	0.709879974251824	0.0742835856582393	0.17727918790550182	0.003	0.9644427478155652	150000																																																														
	70	0.709879974251824	0.0742835856582393	0.17727912338695334	0.003	0.9644426832970167	107142.85714285714																																																														
	80	0.709879974251824	0.0742835856582393	0.17727919948837761	0.003	0.9644427593984409	93750																																																														
	100	0.709879974251824	0.0742835856582393	0.17727919803121261	0.003	0.964442757941276	75000																																																														
	120	0.709879974251824	0.0742835856582393	0.1772791335126641	0.003	0.9644426934227275	62500																																																														
	150	0.709879974251824	0.0742835856582393	0.17727914527497896	0.003	0.9644427051850423	50000																																																														
	160	0.709879974251824	0.0742835856582393	0.17727917122362546	0.003	0.9644427311336888	46875																																																														
	200	0.709879974251824	0.0742835856582393	0.1772791052479119	0.003	0.9644426651579753	37500																																																														
	300	0.709879974251824	0.0742835856582393	0.17727916672073057	0.003	0.9644427266307939	25000																																																														
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
Fort Knox Wolf Run												Page 2																																																									
Software ID: 		200-1775-001																																																																			
																																																																					
	Base Game																																																																				
																																																																					
		Reel 1	Reel 2	Reel 3	Reel 4	Reel 5																																																															
	WildWolf	56.33802816901409	82.56880733944955	57.14285714285714	158.41584158415841	134.8314606741573																																																															
	DarkWolf	28.169014084507044	64.22018348623854	71.42857142857143	118.8118811881188	101.12359550561797																																																															
	Whitewolf	42.25352112676056	27.522935779816514	142.85714285714286	59.4059405940594	78.65168539325842																																																															
	BirdTotem	42.25352112676056	45.87155963302752	142.85714285714286	49.504950495049506	101.12359550561797																																																															
	BearTotem	70.42253521126761	73.39449541284404	71.42857142857143	128.7128712871287	56.17977528089887																																																															
	Ace	70.42253521126761	110.09174311926606	57.14285714285714	29.7029702970297	101.12359550561797																																																															
	King	126.76056338028168	82.56880733944955	14.285714285714285	49.504950495049506	123.59550561797752																																																															
